img_name;folder;image;section;category;dist;extent;slope;pwp_limit;pwp_middle
Pieza_01_foto0_0;1;0;0;2;9;0.5267578125;0.01602751471218676;0.4934895833333333;0.4858579282407408
Pieza_01_foto0_1;1;0;1;1;6;0.5518973214285714;-0.010689143259321087;0.4846726190476191;0.4774181547619048
Pieza_01_foto0_2;1;0;2;1;38;0.8110476762820513;0.13092230654355494;0.5912123631386861;0.4903056569343066
Pieza_01_foto0_3;1;0;3;1;6;0.40122767857142855;0.028304584470282605;0.6130022321428571;0.6088169642857143
Pieza_01_foto0_4;1;0;4;2;16;0.5829503676470589;0.06685184143037456;0.4995959051724138;0.47265625
Pieza_01_foto00_0;1;0;0;2;14;0.6109375;0.05637476769006329;0.5190261314655172;0.4952518857758621
Pieza_01_foto00_1;1;0;1;1;4;0.32578125;0.018355873467943068;0.5012777453271028;0.4986492406542056
Pieza_01_foto00_2;1;0;2;1;36;0.8248521959459459;0.10591072722151912;0.5799057904411765;0.4811580882352941
Pieza_01_foto00_3;1;0;3;1;4;0.54765625;-0.004431792198762803;0.5070754716981132;0.5047169811320755
Pieza_01_foto00_4;1;0;4;2;8;0.5427517361111112;0.01018779893995307;0.4945527522935779;0.4869911123853211
Pieza_01_foto038_0;1;38;0;1;5;0.5013020833333334;0.013481948213643787;0.5144717261904762;0.5074776785714286
Pieza_01_foto038_1;1;38;1;1;7;0.809814453125;-0.008586468657168037;0.5187355324074074;0.4936704282407408
Pieza_01_foto038_2;1;38;2;2;14;0.6173177083333333;0.02947089614671133;0.5951784048507462;0.5755888526119403
Pieza_01_foto038_3;1;38;3;1;6;0.4888392857142857;0.013297825092621705;0.5040509259259259;0.4991681134259259
Pieza_01_foto038_4;1;38;4;2;7;0.46142578125;0.019473275404923104;0.5155184659090909;0.5080255681818182
Pieza_01_foto39_0;1;39;0;1;6;0.5301339285714286;0.005960127061194399;0.4954176682692308;0.4932767427884616
Pieza_01_foto39_1;1;39;1;1;7;0.490234375;0.02713291976883976;0.4851190476190476;0.479985119047619
Pieza_01_foto39_2;1;39;2;1;4;0.40234375;0.011803704718115116;0.4907134433962264;0.4892025353773585
Pieza_01_foto39_3;1;39;3;1;3;0.47705078125;-0.00410775570779281;0.4991736778846154;0.4991736778846154
Pieza_01_foto39_4;1;39;4;2;11;0.3439127604166667;0.034563362606141776;0.4835030691964286;0.4803292410714286
Pieza_01_foto076_0;1;76;0;1;3;0.431640625;0.0052252812131004895;0.5119842233009708;0.5103534587378641
Pieza_01_foto076_1;1;76;1;1;5;0.4449869791666667;0.012636499638714849;0.5161884014423077;0.5115309495192307
Pieza_01_foto076_2;1;76;2;1;3;0.39306640625;-0.004188527681261832;0.5055213341346154;0.5040189302884616
Pieza_01_foto076_3;1;76;3;2;6;0.3844866071428572;0.017188941196732036;0.501899369266055;0.5003942087155964
Pieza_01_foto076_4;1;76;4;1;4;0.5078125;0.0031262702817253358;0.51953125;0.5171502976190476
Pieza_01_foto76_0;1;76;0;1;4;0.44765625;-0.0014252844296695536;0.4975348907766991;0.4958662014563106
Pieza_01_foto76_1;1;76;1;1;6;0.37109375;0.013508238952387772;0.4871600115740741;0.4856409143518519
Pieza_01_foto76_2;1;76;2;1;4;0.473828125;-0.004010497892045614;0.4890776699029126;0.4875227548543689
Pieza_01_foto76_3;1;76;3;1;3;0.47509765625;0.004702676263014463;0.4991361177884616;0.4991361177884616
Pieza_01_foto76_4;1;76;4;1;3;0.3779296875;0.009131773616961032;0.5001896237864077;0.5001896237864077
Pieza_01_foto0118_0;1;118;0;1;3;0.39208984375;-0.002193685717339878;0.5201380461165048;0.5176729368932039
